,Side,MT_Pnl,OMMSide_Pnl,OMMSide_TE,OMMSide_Execution,OMMMid_Pnl,OMMMid_TE,OMMMid_Execution,,,Side,MT_Pnl (bp),OMMSide_Pnl (bp),OMMSide_TE,OMMSide_Execution,OMMMid_Pnl (bp),OMMMid_TE,OMMMid_Execution
0,B,-0.000285,-0.000285,15,TTE,-0.000285,15,TTE,,0,B,-2.85,-2.85,15,TTE,-2.85,15,TTE
1,S,-0.000285,-0.000285,15,TTE,-0.000285,15,TTE,,1,S,-2.85,-2.85,15,TTE,-2.85,15,TTE
2,B,-0.000285,-0.000285,15,TTE,-0.000285,15,TTE,,2,B,-2.85,-2.85,15,TTE,-2.85,15,TTE
3,S,-0.000285,-0.000285,15,TTE,-0.000285,15,TTE,,3,S,-2.85,-2.85,15,TTE,-2.85,15,TTE
4,B,-0.000285,-0.000285,15,TTE,-0.000285,15,TTE,,4,B,-2.85,-2.85,15,TTE,-2.85,15,TTE
5,B,-0.000285,-0.000285,15,TTE,-0.000285,15,TTE,,5,B,-2.85,-2.85,15,TTE,-2.85,15,TTE
6,B,-0.000285,-0.000285,15,TTE,-0.000285,15,TTE,,6,B,-2.85,-2.85,15,TTE,-2.85,15,TTE
7,S,-0.000285,-0.000285,15,TTE,-0.000285,15,TTE,,7,S,-2.85,-2.85,15,TTE,-2.85,15,TTE
8,S,-0.000285,-0.000285,15,TTE,-0.000285,15,TTE,,8,S,-2.85,-2.85,15,TTE,-2.85,15,TTE
9,S,-0.000285,-0.000285,15,TTE,-0.000285,15,TTE,,9,S,-2.85,-2.85,15,TTE,-2.85,15,TTE
10,S,-0.000285,-0.000285,15,TTE,-0.000285,15,TTE,,10,S,-2.85,-2.85,15,TTE,-2.85,15,TTE
11,B,-0.000285,-0.000285,15,TTE,-0.000285,15,TTE,,11,B,-2.85,-2.85,15,TTE,-2.85,15,TTE
12,S,-0.000285,-0.000245,15,TTE,-0.000245,15,TTE,,12,S,-2.85,-2.45,15,TTE,-2.45,15,TTE
13,S,-0.000285,-0.000245,15,TTE,-0.000245,15,TTE,,13,S,-2.85,-2.45,15,TTE,-2.45,15,TTE
14,B,-0.000285,-0.000335,15,TTE,-0.000335,15,TTE,,14,B,-2.85,-3.35,15,TTE,-3.35,15,TTE
15,B,-0.000285,-0.000335,15,TTE,-0.000335,15,TTE,,15,B,-2.85,-3.35,15,TTE,-3.35,15,TTE
16,B,-2.50E-05,-2.50E-05,15,TTE,-2.50E-05,15,TTE,,16,B,-0.25,-0.25,15,TTE,-0.25,15,TTE
17,S,-1.50E-05,-0.000135,15,TTE,-0.000135,15,TTE,,17,S,-0.15,-1.35,15,TTE,-1.35,15,TTE
18,B,-2.00E-05,2.00E-05,9,Success,0,8,Success,,18,B,-0.2,0.2,9,Success,0,8,Success
19,S,-2.50E-05,-0.000145,15,TTE,-0.000145,15,TTE,,19,S,-0.25,-1.45,15,TTE,-1.45,15,TTE
20,B,-2.00E-05,2.00E-05,7,Success,0,6,Success,,20,B,-0.2,0.2,7,Success,0,6,Success
21,B,-2.00E-05,2.00E-05,6,Success,0,5,Success,,21,B,-0.2,0.2,6,Success,0,5,Success
